title,synopsis,original title,date,score,type,actors,duration,episodes
Planet Earth II,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,,2016,9.5,Documentary,"David Attenborough,Elizabeth White,Michael J. Sanderson,Emma Napper,Pete McCowen,Barrie Britton,Thomas Crowley,Jerome Poncet,Max Hug Williams,Aaron Durogati,Armin Holtze,Jon Griffith,Juarez Sena Feitoza,Emma Brennand,J.P. Magnan","4, ,hours, ,58, ,minutes",6
True Detective,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",,2014–2019,8.9,"Crime,Drama,Mystery","Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch,Matthew McConaughey,Mahershala Ali,Woody Harrelson,Carmen Ejogo,Michelle Monaghan,Stephen Dorff,Michael Potts,Kelly Reilly,Scoot McNairy,Tory Kittles,Ray Fisher,Chris Kerson,Ritchie Coster,Sarah Gadon","55, ,minutes",24
Le décalogue,"Ten television drama films, each one based on one of the Ten Commandments.",Original title: Dekalog,1989–1990,9.0,Drama,"Artur Barcis,Olgierd Lukaszewicz,Aleksander Bardini,Olaf Lubaszenko,Krystyna Janda,Piotr Machalica,Jan Tesarz,Stanislaw Gawlik,Krzysztof Kumor,Katarzyna Piwowarczyk,Maciej Szary,Henryk Baranowski,Miroslaw Baka,Adrianna Biedrzynska,Ewa Blaszczyk,Maria Koscialkowska,Daniel Olbrychski,Anna Polony","9, ,hours, ,32, ,minutes",10
Death Note,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,Original title: Death Note: Desu nôto,2006–2007,9.0,"Animation,Crime,Drama","Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô,Trevor Devall,Brian Drummond,Naoya Uchida,Chris Britton,Keiji Fujiwara,Kappei Yamaguchi,Aya Hirano,Shannon Chan-Kent,Alessandro Juliani,Shidô Nakamura,John Murphy,Kazuya Nakai,Kiyoshi Kobayashi,French Tickner","24, ,minutes",37
Terres de glace,Focuses on life and the environment in both the Arctic and Antarctic.,Original title: Frozen Planet,2011–2012,9.0,Documentary,"David Attenborough,Alec Baldwin,Chadden Hunter,Michael Kelem,Ted Giffords,Gavin Thurston,Miles Barton,Mark Linfield,Doug Anderson,Vanessa Berlowitz,Jeff Turner,Doug Allan,Didier Noirot,Jeff Wilson,Jamie McPherson,John Aitchison,Mark Smith,Niobe Thompson","5, ,hours, ,33, ,minutes",10
Sahsiyet,A man diagnosed with Alzheimer's decides to punish criminals.,,2018,9.1,"Crime,Drama,Mystery","Haluk Bilginer,Cansu Dere,Metin Akdülger,Sebnem Bozoklu,Hüseyin Avni Danyal,Necip Memili,Senay Gürler,Ayhan Kavas,Önder Selen,Ibrahim Selim,Firat Topkorur,Recep Usta,Rabia Soyturk,Alptekin Ertürk,Müjde Ar,Yusufcan Sancakli,Hümeyra,Volkan Uygun","1, ,hour, ,5, ,minutes",12
Firefly,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.",,2002–2003,9.0,"Adventure,Drama,Sci-Fi","Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin,Adam Baldwin,Jewel Staite,Sean Maher,Summer Glau,Ron Glass,Christina Hendricks,Mark Sheppard,Michael Fairman,Jeff Ricketts,Dennis Cockrum,Zac Efron,Isabella Hofmann,Doug Savant,Tom Towles","44, ,minutes",14
Clarkson à la ferme,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,Original title: Clarkson's Farm,2021– ,9.1,"Documentary,Reality-TV","Jeremy Clarkson,Kaleb Cooper,Charlie Ireland,Gerald Cooper,Lisa Hogan,Kevin Harrison,Ellen Helliwell,Dave Clay","45, ,minutes",9
Planète des hommes,"Like all life forms, humanity partially adapts to types of natural environment, yet also tends to change them. Each episode examines how life differs for men and nature in some type of environment, from Arctic to desert and jungle, from coasts to mountains.",Original title: Human Planet,2011,9.0,Documentary,"John Hurt,Roger Munns","50, ,minutes",8
Batman,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,Original title: Batman: The Animated Series,1992–1995,9.0,"Animation,Action,Adventure","Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,Bob Hastings,Robert Costanzo,Mari Devon,Mark Hamill,Richard Moll,Lloyd Bochner,Arleen Sorkin,John Vernon,Adrienne Barbeau,Brock Peters,Diane Pershing,Paul Williams,Ingrid Oliu,Neil Ross,Aron Kincaid","23, ,minutes",85
The Blue Planet,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.",,2001,9.0,Documentary,"David Attenborough,Pierce Brosnan","6, ,hours, ,29, ,minutes",8
La quatrième dimension,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",Original title: The Twilight Zone,1959–1964,9.0,"Drama,Fantasy,Horror","Rod Serling,Robert McCord,Jay Overholts,Vaughn Taylor,David Armstrong,James Turley,Jack Klugman,Burgess Meredith,John Anderson,J. Pat O'Malley,Barney Phillips,George Mitchell,Cyril Delevanti,Jon Lormer,John McLiam,Bill Erwin,Nan Peterson,Lew Brown","51, ,minutes",156
SCAM 1992: The Harshad Mehta Story,"Set in 1980's and 90's Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.",Original title: Scam 1992: The Harshad Mehta Story,2020,9.5,"Biography,Crime,Drama","Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher,Anjali Barot,Chirag Vohra,Brinda Trivedi,Jay Upadhyay,Kumkum Das,Anant Mahadevan,Faisal Rashid,Nikhil Dwivedi,Kavin Dave,Paresh Ganatra,Himanshu Kohli,Aakanksha Gade,K.K. Raina,Raghav Raj Kakker,Kartik Krishnan","54, ,minutes",10
The Vietnam War,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,,2017,9.1,"Documentary,History,War","Peter Coyote,Huy Duc,James Willbanks,Duong Van Mai Elliott,John Musgrave,Phan Quang Tue,Karl Marlantes,Nguyen Ngoc,Bao Ninh,Bill Zimmerman,Leslie Gelb,Hal Kushner,Roger Harris,Carol Crocker,Tim O'Brien,Jack Todd,Bui Diem,Robert Gard","16, ,hours, ,30, ,minutes",10
Sherlock,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,,2010–2017,9.1,"Crime,Drama,Mystery","Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves,Louise Brealey,Mark Gatiss,Andrew Scott,Amanda Abbington,Jonathan Aris,Vinette Robinson,Lindsay Duncan,Yasmine Akram,Sian Brooke,Tanya Moodie,Simon Kunz,Wanda Ventham,Timothy Carlton,Lisa McAllister","1, ,hour, ,28, ,minutes",15
Fullmetal Alchemist: Brotherhood,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,Original title: Hagane no renkinjutsushi,2009–2012,9.1,"Animation,Action,Adventure","Kent Williams,Iemasa Kayumi,Vic Mignogna,Romi Park,Muriel Hofmann,Lili Troncale,Rie Kugimiya,Maxey Whitehead,Travis Willingham,Shin'ichirô Miki,Colleen Clinkenbeard,Fumiko Orikasa,Kenta Miyake,J. Michael Tatum,Yuki Hayashi,Caitlin Glass,Monica Rial,Megumi Takamoto","24, ,minutes",69
Special OPS,"The story through the eyes of Himmat Singh is based on the inspiration was taken from Nineteen Years of nationally significant events, several espionage missions were undertaken by India in the last two decades.",,2020– ,8.6,"Action,Crime,Thriller","Kay Kay Menon,Karan Tacker,Gautami Kapoor,Muzamil Ibrahim,Anuj Sharma,Vinay Pathak,Meher Vij,Sajjad Delafrooz,Saiyami Kher,Rajat Kaul,Parmeet Sethi,Vipul Gupta,Sana Khaan,Kali Prasad Mukherjee,Karan Ashar,Divya Dutta,Revathi Pillai,Pakkhi Guptaa","49, ,minutes",8
Goblin,"In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past.",Original title: Sseulsseulhago Chalranhashin: Dokkaebi,2016–2017,8.6,"Comedy,Drama,Fantasy","Gong Yoo,Kim Go-eun,Lee Dong-Wook,Yoo In-Na,Sung-Jae Yook,Lee El,Woo-jin Jo,Sung Kyum Kim,Byeong-cheol Kim,Kim So-Hyun,Min-Jae Kim,Yeom Hye-ran,Woong Choi,Kyung-hye Park,Choi Ri,Yeong-gi Jeong,Ko Bo-Gyeol,Anastasia Kim","2, ,hours",16
Avrupa Yakasi,The life and times of rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,,2004–2009,8.5,Comedy,"Yakup Tekin,Gülse Birsel,Levent Üzümcü,Senay Gürler,Hale Caneroglu,Yildirim Öcek,Veysel Diker,Gazanfer Özcan,Hümeyra,Yavuz Seçkin,Engin Günaydin,Hasibe Eren,Sarp Apak,Rutkay Aziz,Vural Çelik,Celal Belgil,Sensel Uykal,Ececan Gümeci","1, ,hour",190
Garth Marenghi's Darkplace,"This parody series is an unearthed 80s horror/drama, complete with poor production values, awful dialogue and hilarious violence. The series is set in a Hospital in Romford, which is situated over the gates of Hell.",,2004,8.5,"Comedy,Fantasy,Horror","Richard Ayoade,Matt Berry,Matthew Holness,Alice Lowe,Kim Noble,Julian Barratt,Matt Green,Sarah Kants,Graham Linehan,Stephen Merchant,Spencer Brown,Noel Fielding,Paul King,Lydia Fox,Bronwen Davies,Lawrence Michelowski,Kevin Hudson,Nicholas Ivanov","30, ,minutes",6
Scènes de la vie conjugale,Ten years within the marriage of Marianne and Johan.,Original title: Scener ur ett äktenskap,1973,8.4,Drama,"Liv Ullmann,Erland Josephson,Bibi Andersson,Gunnel Lindblom,Jan Malmsjö,Wenche Foss,Anita Wall,Bertil Norström,Rossana Mariano,Lena Bergman,Ingmar Bergman,Barbro Hiort af Ornäs","4, ,hours, ,43, ,minutes",6
Vikings,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",,2013–2020,8.5,"Action,Adventure,Drama","Katheryn Winnick,Gustaf Skarsgård,Alexander Ludwig,Georgia Hirst,Alex Høgh Andersen,Jordan Patrick Smith,Marco Ilsø,Peter Franzén,Travis Fimmel,Clive Standen,John Kavanagh,Jennie Jacques,Maude Hirst,Moe Dunford,Alyssa Sutherland,Linus Roache,George Blagden,Adam Copeland","44, ,minutes",93
X-Men,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.,,1992–1997,8.4,"Animation,Action,Family","Cedric Smith,Cal Dodd,Lenore Zann,George Buza,Alyson Court,Catherine Disher,Norm Spencer,Chris Potter,Alison Sealy-Smith,Lawrence Bayne,David Hemblen,John Colicos,Ron Rubin,Don Francks,Stephen Ouimette,Marc Strange,Philip Akin,Lally Cadeau","23, ,minutes",76
Luther,DCI John Luther is a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.,,2010–2019,8.4,"Crime,Drama,Mystery","Idris Elba,Dermot Crowley,Michael Smiley,Warren Brown,Ruth Wilson,Paul McGann,Nikki Amuka-Bird,Steven Mackintosh,Saskia Reeves,Indira Varma,Patrick Malahide,Sienna Guillory,Aimee-Ffion Edwards,David O'Hara,Kierston Wareing,Michael Obiora,Anton Valensi,Enzo Cilenti","1, ,hour",21
Jésus de Nazareth,"Beginning before the Nativity and extending through the Crucifixion and Resurrection, this mini-series brings to life all of the sweeping drama in the life of Jesus, as told by the Gospels.",Original title: Jesus of Nazareth,1977,8.5,"Biography,Drama,History","Robert Powell,Olivia Hussey,Laurence Olivier,James Mason,Anne Bancroft,Ernest Borgnine,Claudia Cardinale,Valentina Cortese,James Farentino,James Earl Jones,Stacy Keach,Tony Lo Bianco,Ian McShane,Donald Pleasence,Christopher Plummer,Anthony Quinn,Fernando Rey,Ralph Richardson","6, ,hours, ,22, ,minutes",4
Flames,A teenage romance from The Timeliners that aims straight from the heart. This web-series is the story of a young romance unfolding as a chemical reaction.,,2018–2019,9.1,"Comedy,Drama,Romance","Ritvik Sahore,Tanya Maniktala,Sunakshi Grover,Shivam Kakar,Deepesh Sumitra Jagdish,Farabi Md Refat,Kunal Aneja,Sachin Kathuria,Neelu Dogra,Sachin Vidrohi,Purnendu Bhattacharya,Anushka Sharma,Raj Sharma,Sahil Verma,Ujjawal Aggarwal,Simar Singh Oberoi,Lalit Shokeen,Manan Madaan","20, ,minutes",10
Wentworth,Bea Smith is locked up while awaiting trial for the attempted murder of her husband and must learn how life works in prison.,,2013–2021,8.6,"Crime,Drama","Kate Atkinson,Katrina Milosevic,Robbie Magasiva,Jacqueline Brennan,Celia Ireland,Pamela Rabe,Kate Jenkinson,Lauri McLennan,Lucia Brancatisano,Bernard Curry,Nicole da Silva,Shareena Clanton,Eloise Wright,Danielle Cormack,Tammy Macintosh,Rarriwuy Hick,Katherine Grinlaw,Susie Porter","45, ,minutes",100
Kôkaku kidôtai: Stand Alone Complex,The futuristic adventures of a female cyborg counter intelligence agent and her support team.,,2002–2005,8.5,"Animation,Action,Crime","Shirô Saitô,Mary Elizabeth McGlynn,William Frederick Knight,Richard Epcar,Crispin Freeman,Peggy O'Neal,Dino Andrade,Kevin Brief,Loy Edge,Barbara Goodson,Kate Higgins,Patricia Ja Lee,Michael McConnohie,Liam O'Brien,Douglas Rye,Barry Stigler,Doug Stone,Julie Ann Taylor","24, ,minutes",52
Feud,"Planned anthology series centering on famous feuds, including Bette Davis and Joan Crawford that is discontinued at the moment.",,2017,8.5,"Biography,Drama","Susan Sarandon,Jessica Lange,Judy Davis,Jackie Hoffman,Alfred Molina,Stanley Tucci,Alison Wright,Catherine Zeta-Jones,Dominic Burgess,Joel Kelley Dauten,Kathy Bates,Kiernan Shipka,Molly Price,Brooke Star,Chelsea Summer,Matthew Glave,Reed Diamond,John Rubinstein","6, ,hours, ,46, ,minutes",8
Futurama,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.",,1999–2013,8.4,"Animation,Adventure,Comedy","Billy West,John DiMaggio,Katey Sagal,Tress MacNeille,Phil LaMarr,Lauren Tom,Maurice LaMarche,David Herman,Frank Welker,Kath Soucie,Dawnn Lewis,Tom Kenny,Dan Castellaneta,George Takei,Nicole St. John,Phil Hendrie,Al Gore,Pamela Anderson","22, ,minutes",140
Le prisonnier,"After resigning, a secret agent is abducted and taken to what looks like an idyllic village, but is really a bizarre prison. His warders demand information. He gives them nothing, but only tries to escape.",Original title: The Prisoner,1967–1968,8.5,"Drama,Mystery,Sci-Fi","Patrick McGoohan,Angelo Muscat,Peter Swanwick,Peter Brace,Leo McKern,Christopher Benjamin,Michael Miller,Alexis Kanner,Bill Cummings,Frank Maher,Patrick Cargill,Colin Gordon,Kenneth Griffith,Georgina Cookson,Harold Berens,John Cazabon,Bee Duffell,John Maxim","50, ,minutes",17
The Venture Bros.,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.",,2003–2018,8.5,"Animation,Action,Adventure","Christopher McCulloch,James Urbaniak,Doc Hammer,Michael Sinterniklaas,Patrick Warburton,Steven Rattazzi,Paul Boocock,Soul-Bot,Lisa Hammer,Dana Snyder,Mia Barron,Brendon Small,Charles Parnell,Mark Gagliardi,Hal Lublin,Cristin Milioti,Kate McKinnon,Nina Hellman","22, ,minutes",86
Delhi Crime,"Based on the Nirbhaya case, Delhi Crime follows the Delhi Police investigation into the finding of the men who perpetrated this crime.",,2019– ,8.5,"Crime,Drama","Shefali Shah,Rajesh Tailang,Rasika Dugal,Anurag Arora,Jaya Bhattacharya,Yashaswini Dayama,Vinod Sharawat,Adil Hussain,Denzil Smith,Gopal Datt,Sidharth Bhardwaj,Swati Bhatia,Mridul Sharma,Abhilasha Singh,Sanjay Bishnoi,Shobhna Bharadwaj,Gaurav Rana,Amitabh Acharya","50, ,minutes",8
Horace and Pete,"Louis C.K.'s Eugene O'Neill-esque dramedic web series about two brothers, introverted Horace and mentally ill Pete, the current owners of their family's Irish bar ""Horace and Pete's"", and their dysfunctional family and friends.",,2016,8.5,"Comedy,Drama","Louis C.K.,Steve Buscemi,Edie Falco,Steven Wright,Kurt Metzger,Alan Alda,Jessica Lange,Liza Treyger,Aidy Bryant,Nick Di Paolo,Maria Dizzia,Tom Noonan,Dov Davidoff,Craig muMs Grant,Reg E. Cathey,Greer Barnes,Karen Pittman,Mark Normand","1, ,hour, ,7, ,minutes",10
Batman,"The further and darker adventures of Batman with a new Robin, a closer association with Batgirl and the previous Robin now as Nightwing.",Original title: The New Batman Adventures,1997–1999,8.5,"Animation,Action,Adventure","Kevin Conroy,Tara Strong,Mathew Valencia,Efrem Zimbalist Jr.,Loren Lester,Robert Costanzo,Bob Hastings,Arleen Sorkin,Jeff Bennett,Mark Hamill,Paul Williams,Diane Pershing,Mel Winkler,Charles Rocket,Adrienne Barbeau,Richard Moll,Suzanne Stone,Brooks Gardner","30, ,minutes",24
"Unsere Mütter, unsere Väter",Five friends go out to war and promise each other to be back for Christmas.,,2013,8.5,"Action,Drama,History","Volker Bruch,Tom Schilling,Katharina Schüttler,Miriam Stein,Ludwig Trepte,Mark Waschke,Henriette Richter-Röhl,Götz Schubert,Hildegard Schroedter,Christiane Paul,Sylvester Groth,Alina Levshin,Lucas Gregorowicz,Maxim Mehmet,Adam Markiewicz,Johanna Gastdorf,Peter Kremer,Trystan Pütter","4, ,hours, ,30, ,minutes",3
The Punisher,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.",,2017–2019,8.5,"Action,Crime,Drama","Jon Bernthal,Amber Rose Revah,Ben Barnes,Jason R. Moore,Ebon Moss-Bachrach,Floriana Lima,Josh Stewart,Giorgia Whigham,Jaime Ray Newman,Kobi Frumer,Paul Schulze,Michael Nathanson,Royce Johnson,Tony Plana,Ripley Sobo,Daniel Webber,Kelli Barrett,Samuel María Gómez","53, ,minutes",26
Inside No. 9,"Anthology series which mixes dark humor with genres like crime, horror or drama. The show invites viewers into some very different No.9s, where the ordinary and mundane rub shoulders with the extraordinary and macabre.",,2014– ,8.5,"Comedy,Drama,Horror","Reece Shearsmith,Steve Pemberton,Derek Jacobi,Katherine Parkinson,Aimee-Ffion Edwards,Rosie Cavaliero,Denis Lawson,Sheridan Smith,Christopher Whitlow,Alexandra Roach,Peter Kay,Nicola Walker,Monica Dolan,Weruche Opia,Jaygann Ayeh,Jenna Coleman,David Morrissey,Phil Davis","30, ,minutes",39
It's Okay to Not Be Okay,An extraordinary road to emotional healing opens up for an selfish antisocial children's book writer and a selfless psych ward caretaker when they cross paths.,Original title: Saikojiman Gwaenchanha,2020,8.7,"Comedy,Drama,Romance","Kim Soo-hyun,Seo Ye-Ji,Oh Jeong-Se,Park Gyuyoung,Park Jin-Joo,Kim Joo-Heon,Kang Ki-Doong,Jang Young-Nam,Jang Gyu-ri,Kim Chang-wan,Lee Eol,Jeong Jaekwang,Ki-Cheon Kim,Kim Mi-Kyung,Choi Woo-Sung,Kim Soo-In,Kang Ji-Eun,Joon Seo","1, ,hour, ,20, ,minutes",16
Dr. Horrible's Sing-Along Blog,An aspiring supervillain must balance his career and his pursuit of a beautiful do-gooder.,,2008,8.5,"Short,Comedy,Musical","Neil Patrick Harris,Nathan Fillion,Felicia Day,Simon Helberg,Nick Towne,Jed Whedon,Rob Reinis,Otto Michael Penzato,Richard Partlow,Maurissa Tancharoen,Stacy Shirk,Steve Berg,David Fury,Marti Noxon,Michael Boretz,Lance W. Lanfear,Michael G. Canaan,Jonathan Reilly","42, ,minutes",3
Community,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,,2009–2015,8.5,Comedy,"Joel McHale,Danny Pudi,Donald Glover,Chevy Chase,Gillian Jacobs,Alison Brie,Ken Jeong,Yvette Nicole Brown,Jim Rash,Richard Erdman,Erik Charles Nielsen,Dino Stamatopoulos,Danielle Kaplowitz,John Oliver,Charley Koontz,Luke Youngblood,Paget Brewster,Keith David","22, ,minutes",110
The Knick,A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,,2014–2015,8.5,"Drama,History","André Holland,Clive Owen,Jeremy Bobb,Juliet Rylance,Eve Hewson,Michael Angarano,Cara Seymour,Eric Johnson,Chris Sullivan,Grainger Hines,Zuzanna Szadkowski,Maya Kazan,Ylfa Edelstein,Lucas Papaelias,Leon Addison Brown,Charles Aitken,Tom Lipinski,Jennifer Ferrin","58, ,minutes",21
Schitt's Creek,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.",,2015–2020,8.5,Comedy,"Eugene Levy,Catherine O'Hara,Dan Levy,Annie Murphy,Chris Elliott,Emily Hampshire,Jennifer Robertson,Sarah Levy,Karen Robinson,Dustin Milligan,Noah Reid,John Hemphill,Tim Rozon,Marilyn Bellfontaine,Mary Kelly,Jennifer Foster,Lili Connor,Rizwan Manji","22, ,minutes",80
Harley Quinn,"The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City.",,2019– ,8.5,"Animation,Action,Adventure","Kaley Cuoco,Lake Bell,Alan Tudyk,Ron Funches,Tony Hale,Matt Oberg,Jason Alexander,Christopher Meloni,Diedrich Bader,J.B. Smoove,Jim Rash,James Adomian,Andrew Daly,Vanessa Marshall,Tisha Campbell,Phil LaMarr,Rahul Kohli,Briana Cuoco","23, ,minutes",27
"Love, Death & Robots","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",,2019– ,8.5,"Animation,Short,Action","Scott Whyte,Nolan North,Steven Pacey,Emily O'Brien,Fred Tatasciore,Matthew Yang King,Michelle C. Bonilla,Chris Cox,Ike Amadi,Noshir Dalal,Piotr Michael,Mary Elizabeth Winstead,Samira Wiley,Kevin Michael Richardson,Maurice LaMarche,Josh Brener,Helen Sadler,Stefan Kapicic","15, ,minutes",26
John Adams,"The life of one of the USA's Founding Fathers, its second President, and his role in the nation's first 50 years.",,2008,8.5,"Biography,Drama,History","Paul Giamatti,Laura Linney,John Dossett,Stephen Dillane,Sarah Polley,Samuel Barnett,David Morse,Andrew Scott,Danny Huston,Ebon Moss-Bachrach,Steven Hinkle,Madeline Taylor,Mamie Gummer,Kevin Trainor,Tom Wilkinson,Michael Hall D'Addario,Rufus Sewell,Justin Theroux","1, ,hour, ,11, ,minutes",7
Black Books,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue.",,2000–2004,8.5,Comedy,"Dylan Moran,Bill Bailey,Tamsin Greig,Paul Beech,Daisy Campbell,Ben Homewood,Nick Frost,Tony Way,Omid Djalili,Mark Aiken,John Arthur,Tony Bluto,Terry Bird,Jessica Hynes,Rose Keegan,Nina Conti,Mick Walter,Howard Coggins","25, ,minutes",18
Mare of Easttown,A detective in a small Pennsylvania town investigates a local murder while trying to keep her life from falling apart.,,2021,8.5,"Crime,Drama,Mystery","Kate Winslet,Julianne Nicholson,Jean Smart,Angourie Rice,John Douglas Thompson,Joe Tippett,Cameron Mann,Jack Mulhern,Izzy King,Justin Hurtt-Dunkley,Sosie Bacon,David Denman,Neal Huff,James McArdle,Guy Pearce,Ruby Cruz,Enid Graham,Chinasa Ogbuagu","1, ,hour",7
L'amie prodigieuse,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,Original title: L'amica geniale,2018– ,8.6,Drama,"Alba Rohrwacher,Margherita Mazzucco,Gaia Girace,Annarita Vitolo,Alessio Gallo,Valentina Acca,Giovanni Amura,Antonio Buonanno,Gennaro De Stefano,Francesco Serpico,Elvis Esposito,Luca Gallone,Fabrizio Cottone,Ulrike Migliaresi,Chiara Di Costanzo,Pina Di Gennaro,Sarah Falanga,Anna Cerchia","1, ,hour",20
Bir Baskadir,"A group of unique characters from dramatically different socio-cultural backgrounds meeting in startling circumstances in the vibrant and colorful city of Istanbul, - some by chance and some by force of will.",,2020– ,8.5,"Drama,Thriller","Öykü Karayel,Fatih Artman,Funda Eryigit,Defne Kayalar,Settar Tanriögen,Tülin Özen,Bige Önal,Göktug Yildirim,Neil Vanides,Gokhan Yikilkan,Alican Yücesoy,Nesrin Cavadzade,Cemre Zisan Sagbir,Esme Madra,Derya Karadas,Aziz Çapkurt,Incinur Sevimli,Özge Özel","49, ,minutes",8
Erased,"29-year-old Satoru Fujinuma is sent back in time 18 years to prevent the events leading to his mother's death, which began with a series of kidnappings while he was in 5th grade.",Original title: Boku dake ga inai machi,2016,8.5,"Animation,Drama,Fantasy","Tao Tsuchiya,Ben Diskin,Michelle Ruff,Shinnosuke Mitsushima,Minami Takayama,Stephanie Sheh,Sara Cravens,David W. Collins,Mitsuru Miyamoto,Christine Marie Cabanos,Aoi Yûki,Ayaka Nanase,Erica Mendez,Ryan Bartley,Akari Kitô,You Taichi,Bobby Thong,Yukitoshi Kikuchi","4, ,hours, ,24, ,minutes",13
The Defiant Ones,"""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.",,2017,8.5,"Documentary,Biography,Crime","Stevie Nicks,Bono,Tom Petty,Dr. Dre,Jimmy Iovine,Janet Mormile,Ice Cube,Snoop Dogg,Bruce Springsteen,Gwen Stefani,Trent Reznor,Sean 'Diddy' Combs,Nas,DJ Yella,Vicki Iovine,The D.O.C.,Doug Morris,Verna Griffin","1, ,hour",4
Spartacus: le sang des gladiateurs,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",Original title: Spartacus: Blood and Sand,2010–2013,8.5,"Action,Adventure,Biography","Andy Whitfield,Lucy Lawless,Manu Bennett,Daniel Feuerriegel,Peter Mensah,Nick E. Tarabay,Viva Bianca,Liam McIntyre,Pana Hema Taylor,Cynthia Addai-Robinson,Dustin Clare,Heath Jones,Katrina Law,Ellen Hollman,Barry Duffield,Kelvin Taylor,John Hannah,Craig Parker","55, ,minutes",34
I'm Alan Partridge,"Alan Partridge, a failed television presenter, is now presenting a programme on local radio in Norwich. He desperately tries to revive his broadcasting career.",,1997–2002,8.5,Comedy,"Steve Coogan,Simon Greenall,Felicity Montagu,Phil Cornwell,Andrew Burt,Amelia Bullmore,Barbara Durkin,Sally Phillips,James Lance,Tim Dantay,David Schneider,Simon Ludders,Danny Cunningham,Terence Booth,Michael Wardle,Peter Baynham,Polly Kemp,Steve Brody","29, ,minutes",12
Big Little Lies,"The apparently perfect lives of upper-class mothers, at a prestigious elementary school, unravel to the point of murder when a single-mother moves to their quaint Californian beach town.",,2017–2019,8.5,"Crime,Drama,Mystery","Reese Witherspoon,Nicole Kidman,Shailene Woodley,Adam Scott,Zoë Kravitz,Laura Dern,James Tupper,Alexander Skarsgård,Jeffrey Nordling,Iain Armitage,Darby Camp,Kathryn Newton,Cameron Crovetti,Nicholas Crovetti,Chloe Coleman,Ivy George,Larry Sullivan,Merrin Dungey","1, ,hour",14
Samurai Jack,"A samurai, sent through time, fights to return home and save the world.",,2001–2017,8.5,"Animation,Action,Adventure","Phil LaMarr,Mako,Kevin Michael Richardson,Jeff Bennett,Grey Griffin,Tara Strong,Tom Kenny,Daran Norris,Greg Baldwin,John DiMaggio,Jennifer Hale,Dee Bradley Baker,Sab Shimono,Richard McGonagle,Lauren Tom,Keone Young,Rob Paulsen,Clyde Kusatsu","25, ,minutes",62
